PAYDAY™ The Heist,FPS,Action,Co-op,Heist,Multiplayer,Crime,Online Co-Op,Shooter,First-Person,Team-Based,Great Soundtrack,Stealth,Difficult,Tactical,Strategy,Singleplayer,Simulation,RPG,Indie,Adventure
Euro Truck Simulator 2 - Heavy Cargo Pack,Simulation,Indie,Driving,Open World,Multiplayer,Singleplayer,Moddable,Realistic,Free to Play,Casual,Online Co-Op,Atmospheric
The Wolf Among Us,Adventure,Detective,Story Rich,Episodic,Choose Your Own Adventure,Point & Click,Noir,Mature,Visual Novel,Choices Matter,Singleplayer,Atmospheric,Comic Book,Mystery,Cinematic,Action,Dark,Well-Written,Fantasy,Casual
ONE PIECE ODYSSEY,Open World,JRPG,Anime,Turn-Based Combat,Story Rich,Party-Based RPG,Comedy,Team-Based,RPG,Pirates,Singleplayer,3D,Funny,Cartoony,Adventure,Third Person,Exploration,Colorful,Mystery,Action-Adventure
Cities: Skylines - Plazas & Promenades,Strategy,Simulation
GRIS,Beautiful,Atmospheric,Great Soundtrack,Indie,Female Protagonist,Adventure,Hand-drawn,Platformer,Singleplayer,2D,Relaxing,Story Rich,Puzzle,Colorful,Puzzle Platformer,Surreal,Casual,Exploration,Walking Simulator,Anime
Townsmen VR,Simulation,Strategy,VR,Casual,Indie,City Builder,Early Access,God Game,3D,Atmospheric,Medieval,Building,Family Friendly,Resource Management,Singleplayer,Experience,Funny,Sandbox,Exploration,Cartoony
TRAIL OUT,Destruction,Racing,Automobile Sim,Vehicular Combat,Combat Racing,Action,Physics,Arcade,Simulation,Singleplayer,PvE,Driving,Casual,Funny,Sports,Local Co-Op,Local Multiplayer,Third Person,Atmospheric,Realistic
The Last Stand: Aftermath,Zombies,Survival,Post-apocalyptic,Top-Down Shooter,Roguelite,Shooter,Action Roguelike,Singleplayer,Adventure,Action,Perma Death,Top-Down,Atmospheric,Violent,Replay Value,Procedural Generation,Dark,Crafting,3D,Action RPG
Travellers Rest,Life Sim,Pixel Graphics,Farming Sim,Management,RPG,Immersive Sim,Collectathon,Medieval,Crafting,Building,Fantasy,Isometric,Resource Management,Colorful,Singleplayer,Adventure,Indie,Inventory Management,Early Access,Simulation
DARK SOULS™ III - Ashes of Ariandel™,Dark Fantasy,Action,Atmospheric,Difficult,RPG,Great Soundtrack,PvP,Lore-Rich,Dark,Action RPG,Open World,Third Person,Story Rich,Adventure,Co-op,Souls-like,Hentai
Going Medieval,Early Access,City Builder,Medieval,Colony Sim,Strategy,Simulation,Building,Survival,Base Building,Management,Crafting,Sandbox,RPG,Open World,Resource Management,RTS,Singleplayer,3D,Procedural Generation,Stylized
Hunt: Showdown - Cold Blooded,Action,Gore,Violent,Multiplayer,Atmospheric,Survival Horror,First-Person,Combat,Team-Based,Hunting,America,Beautiful,Alternate History,Lore-Rich,Character Customization
X4: Cradle of Humanity,Simulation,Action,Space
Red Solstice 2: Survivors,Strategy RPG,Real Time Tactics,Character Customization,RPG,Third Person,Strategy,Zombies,Team-Based,Procedural Generation,Sci-fi,Co-op,Aliens,Atmospheric,Futuristic,Multiplayer,Online Co-Op,Singleplayer,Tactical,Top-Down Shooter,Action
BattleBlock Theater®,Co-op,Platformer,Funny,Comedy,Level Editor,Multiplayer,Local Co-Op,2D,Cats,Online Co-Op,Action,Side Scroller,Local Multiplayer,Casual,Singleplayer,2D Platformer,Puzzle Platformer,Indie,Puzzle,Narration
Into the Breach,Strategy,Turn-Based Strategy,Indie,Pixel Graphics,Turn-Based Tactics,Mechs,Roguelike,Turn-Based,Sci-fi,Puzzle,Roguelite,Singleplayer,Tactical,Turn-Based Combat,RPG,Isometric,Simulation,Replay Value,Procedural Generation,Great Soundtrack
Deep Rock Galactic - Robot Rebellion Pack,Action
Ben and Ed - Blood Party,Multiplayer,Zombies,Co-op,Action,Indie,Funny,Level Editor,Parkour,3D Platformer,Gore,Violent,Horror,Platformer,4 Player Local,Singleplayer,Third Person,Split Screen,Local Multiplayer
Trine 4: The Nightmare Prince,Puzzle Platformer,Online Co-Op,Local Co-Op,Action-Adventure,Beautiful,Fantasy,Co-op,2.5D,Platformer,Multiplayer,Adventure,Puzzle,Action,Atmospheric,Local Multiplayer,Great Soundtrack,Stylized,Indie,Singleplayer,RPG
American Truck Simulator - Idaho,Simulation,Indie,Singleplayer,Open World,Driving,Relaxing,Realistic,Exploration
Tales of Berseria™,Anime,JRPG,RPG,Female Protagonist,Story Rich,Action,Fantasy,Action RPG,Singleplayer,Open World,Adventure,Great Soundtrack,Hack and Slash,Cute,Local Co-Op,Sexual Content,Mature,Co-op,Multiplayer,Nudity
Unrailed!,Multiplayer,Co-op,Online Co-Op,Local Co-Op,Casual,Trains,Local Multiplayer,Action,Procedural Generation,Indie,4 Player Local,Voxel,Family Friendly,Funny,Isometric,Survival,Controller,Cute,Competitive,Early Access
Universe Sandbox,Sandbox,Space,Simulation,Physics,Science,Destruction,Realistic,God Game,Education,Singleplayer,Early Access,VR,Open World,Indie,Casual,Atmospheric,Sci-fi,Great Soundtrack,Exploration,Space Sim
Torchlight III,RPG,Adventure,Action,Hack and Slash,Loot,Action RPG,Dungeon Crawler,Online Co-Op,Isometric,Co-op,Multiplayer,Fantasy,Singleplayer,Controller,Early Access,Steampunk,Open World
Bright Memory: Infinite,Action,Female Protagonist,Sexual Content,FPS,Indie,Singleplayer,Sci-fi,Shooter,First-Person,Hack and Slash,Gore,Mature,Violent,Souls-like,Character Customization,Short,Multiplayer,Swordplay,Futuristic,Realistic
Assetto Corsa Competizione - 2023 GT World Challenge Pack,Indie,Simulation,Racing,Sports,eSports
Nobody Saves the World,RPG,Action RPG,Hack and Slash,Dungeon Crawler,Action,Fantasy,Adventure,2D,Top-Down,Magic,Procedural Generation,Action-Adventure,Funny,Class-Based,Cartoony,Character Customization,Hand-drawn,Colorful,Cartoon,Controller
